id,fen,moves,rating,themes
00LRq,1k6/1p1q4/P2p3p/1NpPpn1Q/5b2/2P3r1/1P2B1P1/R6K b - - 3 28,g3g7 a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q,2077,advancedpawn discoveredcheck doublecheck mate matein4 middlegame promotion queensideattack sacrifice verylong
01FSC,4r3/5Qkp/p5pN/8/6P1/6KP/P1P1r3/8 b - - 0 34,g7h6 g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4,2080,endgame mate matein4 queenrookendgame verylong
01sj4,2r2r2/2q2pk1/5npp/p1p1pN2/1pb1P2N/3PQ3/PP3PPP/5RK1 b - - 1 22,g6f5 h4f5 g7g8 e3g3 f6g4 g3g4 g8h8 g4g7,2135,mate matein4 middlegame verylong
02ouU,2kr2nr/1pp1q2p/p2b2p1/1N1P1b2/2BPp3/Q7/PB3PPP/4R1K1 b - - 1 17,a6b5 a3a8 c8d7 c4b5 c7c6 b5c6 b7c6 a8c6,2159,intermezzo mate matein4 middlegame queensideattack verylong xrayattack
02owE,1nkr1qnr/1pp5/p2b1p2/3N2p1/2B1P1p1/4BN2/PPP1QPP1/R3R1K1 w - - 0 15,f3d2 h8h1 g1h1 f8h6 h1g1 h6h2 g1f1 h2h1,1943,attraction kingsideattack mate matein4 middlegame sacrifice verylong
037D4,r1b2rk1/1p2Qppp/p2p4/3P4/5R2/3q4/P5PP/5R1K b - - 1 22,b7b5 e7f8 g8f8 f4f7 f8e8 f7f8 e8d7 f1f7,2053,attraction mate matein4 middlegame sacrifice verylong
04g7p,2r1NQ2/5p1k/4p1p1/3pB2p/1p1Pq3/4P1P1/5PKP/8 w - - 4 35,f2f3 c8c2 g2h3 e4f5 g3g4 f5f3 e5g3 f3g4,1990,endgame mate matein4 verylong
05DXA,3r1rk1/q3bppp/2p1p3/1p2B3/1n1P4/3B1P2/PPP2P1P/R5RK b - - 3 21,b4d3 g1g7 g8h8 g7g8 h8g8 a1g1 e7g5 g1g5,2176,attraction discoveredcheck doublecheck kingsideattack mate matein4 middlegame pillsburysmate sacrifice verylong
062e9,8/4R1pp/5pk1/1ppb4/5PPP/8/2r2B2/6K1 b - - 0 37,c5c4 f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5,1974,attraction discoveredattack discoveredcheck enpassant endgame mate matein4 verylong
06NfA,4r1k1/1p3p2/p3r1p1/3pq3/3R4/1PB3Pb/PQ2P2P/4R1K1 w - - 0 28,d4h4 e5e3 g1h1 e3f3 e2f3 e6e1 c3e1 e8e1,2020,discoveredattack kingsideattack mate matein4 middlegame pillsburysmate sacrifice verylong
06o2P,5r2/p5R1/2pp1r2/4bP1k/8/2PB2p1/PP3pP1/3K1R2 b - - 4 39,h5h6 g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6,2072,deflection discoveredattack discoveredcheck endgame exposedking mate matein4 pin verylong
08Gve,2r2r1k/4b2p/p2pQnpP/6B1/1p3P2/8/PPq3P1/K2RR3 b - - 1 23,c8e8 g5f6 e7f6 e6f6 f8f6 e1e8 f6f8 e8f8,1942,deflection kingsideattack mate matein4 middlegame verylong
08QBB,2Q5/3P1bk1/p7/1p6/8/P3P3/5PP1/1qn3K1 w - - 1 48,d7d8q c1e2 g1h2 b1g1 h2h3 g1h1 h3g4 h1h5,1961,discoveredcheck doublecheck endgame mate matein4 verylong
08RGa,6rk/2b2p1p/p1pq1p2/3p1Q2/1P1N3P/2P2N2/P3RPr1/4R1K1 w - - 0 24,g1f1 g2g1 f3g1 g8g1 f1g1 d6h2 g1f1 h2h1,2004,attraction mate matein4 middlegame sacrifice verylong
09D0W,1nkrr3/BRp2ppp/3p4/3P4/5P2/2Pb3P/PQ4PK/4q3 b - - 2 25,c8d7 b7c7 d7c7 b2b6 c7c8 b6b8 c8d7 b8b7,1938,attraction epaulettemate mate matein4 middlegame sacrifice verylong
09Yyy,5rk1/R5p1/1p2pq1p/1P1p3Q/1brN4/4P3/5PPP/5RK1 w - - 2 30,h5g4 f6f2 f1f2 c4c1 g4d1 c1d1 f2f1 f8f1,2021,kingsideattack mate matein4 middlegame sacrifice verylong
09frX,3r4/4R1b1/1R2Bp2/7k/4P1pN/P1r5/2n2P1P/2B3K1 w - - 2 23,e7g7 d8d1 g1g2 c2e1 g2f1 e1f3 f1e2 d1e1,1911,discoveredattack discoveredcheck hookmate mate matein4 middlegame verylong
09ygJ,r1r3k1/pp2ppb1/3p2p1/q2N4/3nP2R/3B1P2/PPPQ1P2/2K4R b - - 4 17,a5a2 h4h8 g7h8 h1h8 g8h8 d2h6 h8g8 d5e7,2025,attraction kingsideattack master mate matein4 middlegame sacrifice verylong
0ARwj,r7/p3pp1N/1pn3k1/2p2b1R/4r3/1P3KP1/P1P1B3/R7 b - - 6 24,e4e2 h5g5 g6h7 a1h1 e2h2 h1h2 f5h3 h2h3,2004,exposedking mate matein4 middlegame sacrifice verylong
0AsLa,8/3nnpk1/4p1p1/3p2N1/p2P3Q/2P3P1/q3NPK1/8 b - - 1 32,a2e2 h4h7 g7f6 h7f7 f6g5 f7f4 g5h5 f4h4,1924,endgame mate matein4 sacrifice verylong
0BAXi,5r1k/1Q6/p2pB1pp/3Pp3/3pP3/3P2PP/PP4RK/5qb1 w - - 3 30,h2h1 g1f2 h1h2 f2g3 g2g3 f8f2 g3g2 f2g2,1944,clearance discoveredattack discoveredcheck endgame exposedking kingsideattack mate matein4 sacrifice verylong
0Bsf6,r4rk1/pp3ppp/5b2/3qB3/3P4/5PQB/bP5P/K2R2R1 b - - 1 23,a2b3 g3g7 f6g7 g1g7 g8h8 g7g8 h8g8 d1g1,1968,attraction discoveredcheck doublecheck kingsideattack mate matein4 middlegame pillsburysmate sacrifice verylong
0EHec,2R5/4PK1k/5P2/p6p/2P5/5r2/1p6/8 b - - 0 51,b2b1q c8h8 h7h8 e7e8q h8h7 e8g8 h7h6 g8g7,2112,advancedpawn attraction endgame exposedking mate matein4 promotion queenrookendgame verylong
0FOSW,r5k1/1r2pR1p/3p4/6PQ/4b2P/qPN5/P1P5/1K1R4 w - - 1 26,c3e4 b7b3 c2b3 a3a2 b1c1 a8c8 e4c3 c8c3,2118,mate matein4 middlegame sacrifice verylong
0GSMC,5bk1/1p3p1p/p3pQpP/4P1P1/6N1/4qPK1/P1r5/3R4 b - - 3 35,e3e2 f6g7 f8g7 d1d8 g7f8 g4f6 g8h8 d8f8,1970,deflection endgame master mate matein4 sacrifice verylong
0GomC,7k/p1p4p/1p2n1p1/3pQ3/3P1nN1/2PB2qP/PP4P1/6K1 b - - 17 32,h8g8 g4h6 g8f8 e5f6 f8e8 d3b5 c7c6 b5c6,1901,balestramate endgame kingsideattack mate matein4 verylong
0HBeT,1k6/pb3ppp/1p4r1/1RP5/6r1/3Nb3/2P3PP/1Q4RK w - - 1 32,c5b6 g4g2 b6a7 b8a8 b5b7 g2g1 b1g1 g6g1,2198,fork mate matein4 middlegame operamate verylong
0HWft,K7/P1k5/6p1/5p2/5PpP/8/8/8 w - - 0 49,h4h5 g4g3 h5h6 g3g2 h6h7 g2g1q h7h8q g1g2,1921,advancedpawn endgame mate matein4 pawnendgame promotion verylong
0HzHQ,r5k1/3n2b1/p3Q3/1p1p4/8/P1q1PB1P/5PK1/8 b - - 0 36,g8h7 e6f5 h7h8 f5h5 g7h6 h5h6 h8g8 f3d5,2020,balestramate endgame exposedking fork mate matein4 verylong
0IKMV,7k/6p1/p1b4p/2P2n2/PP1B1P2/2P4r/8/R3R1K1 w - - 0 31,b4b5 h3h1 g1f2 h1h2 f2f1 f5g3 f1g1 h2g2,2082,endgame exposedking mate matein4 operamate verylong vukovicmate
0J87Y,R7/8/P7/4p2P/6p1/r7/5kPK/8 w - - 1 39,a6a7 a3h3 g2h3 g4g3 h2h1 g3g2 h1h2 g2g1q,2038,advancedpawn endgame mate matein4 promotion rookendgame sacrifice verylong
0JQpH,2r2rk1/pp3ppp/1b6/4p3/1P2q1nP/PQ2P1P1/1B1PN3/2R2RK1 b - - 9 25,g4e3 b3f7 f8f7 c1c8 b6d8 c8d8 f7f8 f1f8,1903,deflection kingsideattack master mate matein4 middlegame sacrifice verylong
0K3Ll,2kr2r1/pb3p1p/1p2p3/1P6/2Pp4/P3PN2/4BPPP/BN3RK1 w - - 0 17,f3d4 g8g2 g1h1 g2g1 h1g1 d8g8 e2g4 g8g4,2136,attraction discoveredcheck doublecheck kingsideattack mate matein4 middlegame pillsburysmate sacrifice verylong
