id,fen,moves,rating,themes
gPYn0,4k2r/1p3pbp/p2p2p1/8/8/2PQ1PP1/qP3K1P/4R3 b k - 1 25,e8f8 d3d6 f8g8 e1e8 g7f8 d6f8,1348,endgame long mate matein3
aClmf,5r1k/3QR1b1/p6p/2p3p1/8/4N1P1/Pq4rP/3R2K1 w - - 2 30,e3g2 b2f2 g1h1 f2f1 d1f1 f8f1,1428,backrankmate long mate matein3 middlegame sacrifice
4iw2z,rn3rk1/p3n1pp/2pN4/2P5/Bb1P2bq/8/P2Q2PP/R1B1R1K1 w - - 0 19,d2b4 h4f2 g1h1 f2f1 e1f1 f8f1,1559,backrankmate long mate matein3 middlegame sacrifice
qlHjG,4r1k1/pp1n1r1p/2pR2pQ/5q2/2P5/B7/P4PPP/5RK1 w - - 1 20,a3b2 f5f2 f1f2 e8e1 f2f1 e1f1,1306,kingsideattack long mate matein3 middlegame sacrifice
egIS6,r3k2r/ppp1p1b1/3p2p1/3N1p2/1PPn2n1/3P1NPq/P2BP2P/R2Q2KR w kq - 2 18,d5f4 d4f3 e2f3 g7d4 d2e3 d4e3,1572,balestramate clearance fork long mate matein3 middlegame
SjWYi,kr6/ppq3pp/2p5/2P1pp2/QRP5/3r2P1/P4PKP/1R6 b - - 0 23,f5f4 a4a7 a8a7 b4a4 c7a5 a4a5,1341,attraction endgame long mate matein3 queensideattack sacrifice
ctIzK,2r5/pp3pkp/4b1p1/3N4/1n2P3/Q5P1/PP1qP1BP/1K5R w - - 8 24,a3b4 d2c2 b1a1 c2c1 h1c1 c8c1,1331,backrankmate long mate matein3 middlegame sacrifice
RPDXm,7k/p1p3pp/3r4/8/2Q2q2/8/P1P3PP/3R3K w - - 0 27,d1d6 f4c1 d6d1 c1d1 c4f1 d1f1,1325,endgame long mate matein3
LKtix,r3r1k1/4RpPp/p7/1b1p1N2/3Pn3/4R2P/2q3P1/4Q1K1 b - - 2 33,e4g5 e7e8 b5e8 e3e8 a8e8 e1e8,1325,long mate matein3 middlegame
eSmnN,8/2P5/8/1R2n1r1/8/8/5k2/7K w - - 1 44,b5e5 g5e5 c7c8q e5h5 c8h3 h5h3,1580,endgame exposedking long mate matein3 rookendgame
ag77f,6k1/r5b1/4P2p/8/2P1R3/1P2RN1P/5PP1/rK6 w - - 1 46,b1c2 a7a2 c2d3 a1d1 f3d2 d1d2,1467,endgame long mate matein3 pillsburysmate
