id,fen,moves,rating,themes
qQrgV,1k2N3/pp5p/2p2Pp1/q2p4/6Q1/P7/1PP2rPP/2K4R w - - 0 35,e8d6 a5d2 c1b1 d2c2 b1a1 c2b2,1126,endgame long mate matein3 queensideattack
QoqKH,1qk5/pp1r3p/2n1Q3/1N6/B7/P2Pp3/1PP3PP/1R3K1R w - - 5 29,a4b3 b8f4 f1e1 f4f2 e1d1 f2d2,1238,long mate matein3 middlegame
63D0C,3k4/rBR2Q2/P2p1p2/4pPb1/3r4/8/5qPP/5RK1 w - - 0 27,f1f2 d4d1 f2f1 g5e3 g1h1 d1f1,1071,backrankmate deflection long mate matein3 middlegame
3s2g6,r5k1/1b1Q2pp/1p2p3/p2pP3/3Pp3/P3q3/1P2B1PP/5R1K b - - 1 21,e3e2 d7f7 g8h8 f7f8 a8f8 f1f8,1092,backrankmate endgame fork long mate matein3 sacrifice
1wke6,r1b1k2r/p3nppp/2pQp3/1qP1P3/8/P1p1B3/2P2PPP/3RK1NR b Kkq - 5 13,c8a6 d6d7 e8f8 d7d8 a8d8 d1d8,1093,backrankmate long mate matein3 middlegame sacrifice
a2ltV,r4rk1/pp3ppp/2p5/2b1P3/8/P1B2Bqb/1P1N2P1/2RQ1RK1 w - - 1 23,g1h1 h3g2 f3g2 g3h4 g2h3 h4h3,1196,fork long mate matein3 middlegame sacrifice
lJrpg,8/5r1p/2p2kp1/2p1R1P1/3p4/1P1P4/P2q1P1Q/6K1 b - - 0 35,f6g7 h2h6 g7h8 e5e8 f7f8 h6f8,1033,endgame long mate matein3
amd6R,5k2/1p1r1p1q/4p2P/p3P1Q1/Pb6/4P3/6P1/2R3K1 b - - 2 44,b4e7 c1c8 e7d8 c8d8 d7d8 g5d8,1097,endgame long mate matein3
zYGFu,2kr3r/pp1qb1pp/2n5/2pb1p2/Q1N2B2/3P1PP1/PP4BP/R4RK1 b - - 0 18,g7g5 c4b6 a7b6 a4a8 c6b8 a8b8,1281,long mate matein3 middlegame queensideattack sacrifice
BRWqp,3b2rk/5p1p/5Pp1/3N4/2P5/p1Q4R/4rqPP/6RK b - - 5 33,a3a2 h3h7 h8h7 c3h3 f2h4 h3h4,1205,attraction long mate matein3 middlegame sacrifice
fgFEk,r1b1kb1r/pp3pp1/1qn1p3/3pPn2/1p3P1p/P1P2N2/3PB1PP/RNBQ1R1K w kq - 0 11,a3b4 f5g3 h2g3 h4g3 f3h2 h8h2,1194,discoveredattack discoveredcheck kingsideattack long mate matein3 opening sacrifice
KcTct,r2qk3/pp1n1pp1/2p5/3p4/3PN3/4PRb1/PP2B1P1/R1BQ2Kr w q - 1 17,g1h1 d8h4 h1g1 h4h2 g1f1 h2h1,1003,fork long mate matein3 middlegame
K6WRP,5bk1/3p1p1p/6q1/4Pp2/1p3P1Q/1b2R3/1P1B2P1/rK6 w - - 2 33,b1a1 g6a6 a1b1 a6a2 b1c1 a2a1,1145,endgame long mate matein3
ChAiz,3rb2k/1p5P/3q1p1P/p3pBp1/8/5Q2/PPP2P2/2K4R w - - 2 33,f3b7 d6d2 c1b1 d2d1 h1d1 d8d1,1236,backrankmate endgame long mate matein3 sacrifice
P2MmG,r3nr1k/ppp3pp/4R3/5qN1/3n4/1Q3N2/P4PPP/4R1K1 w - - 7 21,f3d4 f5f2 g1h1 f2f1 e1f1 f8f1,1094,backrankmate fork long mate matein3 middlegame sacrifice
aPe4p,4r1k1/6pp/8/p2pP1p1/8/PPq1PQ1P/6P1/5RK1 b - - 1 37,c3e5 f3f7 g8h8 f7f8 e8f8 f1f8,1099,backrankmate endgame long mate matein3 sacrifice
bhoue,6k1/1p2b1pp/p3p3/4N3/q7/5Q1P/2r2nPK/3R4 b - - 2 28,e7f6 d1d8 f6d8 f3f7 g8h8 f7f8,1061,long mate matein3 middlegame sacrifice
1AAg9,4R1k1/p1pb1ppp/2pq4/5P2/2Bp4/8/P1r3PP/4Q1K1 b - - 1 23,d7e8 e1e8 d6f8 c4f7 g8h8 e8f8,1044,deflection endgame long mate matein3
FlW2B,2r2k2/1Rp1R1pp/3n4/3N4/8/1P6/2r2PPP/6K1 w - - 6 26,b7c7 c2c1 c7c1 c8c1 e7e1 c1e1,1008,backrankmate collinear endgame long mate matein3 xrayattack
GOdtX,4r2k/1pr3bp/p3q3/3nB3/3P4/6RP/1P3Q2/5RK1 b - - 0 32,g7e5 f2f8 e8f8 f1f8 e6g8 g3g8,1050,long mate matein3 middlegame sacrifice
CPW2g,r1b1r1k1/pp3ppp/8/3QP3/8/2q4P/4B1P1/R4RK1 b - - 0 19,c3e5 d5f7 g8h8 f7f8 e8f8 f1f8,1132,backrankmate long mate matein3 middlegame sacrifice
fYk6V,8/5ppp/4p3/8/4kP2/4Q1P1/5K1P/1q1q4 b - - 3 39,e4f5 e3e5 f5g4 e5g5 g4h3 g5h4,1083,endgame long mate matein3 queenendgame
25qJ8,rn1q1r1k/p1p1b1p1/1p2p3/5pPQ/3P4/2PB4/P1P2Pb1/R1B1K3 b Q - 1 15,h8g8 g5g6 f8f6 h5h7 g8f8 h7h8,1153,kingsideattack long master mate matein3 middlegame
JxgIa,2k4r/ppp5/8/2q2pp1/Q1P1p2p/2P1P3/P4P2/3R1K2 b - - 1 26,h4h3 a4d7 c8b8 d7d8 h8d8 d1d8,1299,backrankmate endgame long mate matein3 sacrifice
lFZ4I,5rk1/1b3ppp/5b2/8/QP1p1B2/P2P1P2/q5PP/2R3K1 b - - 0 22,f8a8 a4a8 b7a8 c1c8 f6d8 c8d8,1210,backrankmate fork long mate matein3 middlegame sacrifice
7d3gq,4r1k1/4p2p/3p1ppB/2p5/1q5N/1PQ5/r2R1PPP/6K1 w - - 1 25,c3b4 a2a1 d2d1 a1d1 b4e1 d1e1,1214,backrankmate endgame long mate matein3
Aj2TG,6k1/R4p1p/4p1p1/p2pP1PP/r7/1r6/4BK2/8 b - - 2 36,a4a2 a7a8 b3b8 a8b8 g8g7 h5h6,1014,endgame long master mate matein3
hBe8x,1k1r4/pp3p2/4pN2/1nN3p1/7p/5P1P/4r1PK/2R5 b - - 3 40,d8d2 c5d7 d2d7 f6d7 b8a8 c1c8,1085,backrankmate endgame long master mate matein3
UtG5N,5rk1/6p1/4p2p/3pPq2/Q2P4/P7/5rPP/R4RK1 w - - 0 29,f1f2 f5f2 g1h1 f2f1 a1f1 f8f1,1144,backrankmate endgame long mate matein3
qKaGE,4r3/5r1p/4QBpk/p1p4q/2Bp4/P4P2/1P3P1P/6RK w - - 1 35,e6f7 h5f3 g1g2 e8e1 c4f1 e1f1,1259,endgame long mate matein3
859LC,r3r1k1/1p1b1pbp/nqpP2p1/p3p3/N1P1P3/BP4P1/P1QN1nBP/2R2R1K w - - 5 22,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,1278,discoveredcheck doublecheck kingsideattack long mate matein3 middlegame sacrifice smotheredmate
C2mnJ,2rr4/Qpq3kp/3p4/3Rp1pB/3nP3/5P2/PP4PP/1K5R w - - 1 24,d5d4 c7c2 b1a1 c2c1 h1c1 c8c1,1119,backrankmate long mate matein3 middlegame sacrifice
WNUNP,r5k1/1pQ2ppp/1Pp1r2q/p1P5/P2Pp3/4b3/6PP/4RR1K b - - 1 30,a8e8 c7f7 g8h8 f7f8 e8f8 f1f8,1249,backrankmate long mate matein3 middlegame sacrifice
jytYi,4r1k1/1pQ1r1pp/8/3PR1P1/7q/1P6/p1P5/K4R2 b - - 0 31,e7e5 c7f7 g8h8 f7f8 e8f8 f1f8,1125,backrankmate endgame long mate matein3 sacrifice
RfkFP,4B3/2r3pk/1Rn4p/1p2p3/8/2n3PP/5PK1/4N3 b - - 1 38,c6d4 e8g6 h7h8 b6b8 c7c8 b8c8,1173,endgame long mate matein3 pillsburysmate
fum15,2k3r1/ppp1pp2/8/5b2/3QBP2/2P1K3/PPq5/3R4 b - - 3 25,f5e4 d4d7 c8b8 d7d8 g8d8 d1d8,1298,backrankmate endgame long master mate matein3 sacrifice
ZADSH,4Q3/3P2kp/4pp2/2P5/6p1/3qB1P1/1P3nNP/5RK1 w - - 1 51,d7d8q f2h3 g1h1 d3f1 e3g1 f1g1,1021,deflection long mate matein3 middlegame
FkEQp,5rk1/7p/2Q1p1p1/8/8/P7/1PPq2PP/1R3K2 w - - 4 28,f1g1 d2f2 g1h1 f2f1 b1f1 f8f1,1099,backrankmate endgame long mate matein3 sacrifice
