id,fen,moves,rating,themes
02W3t,1r2r1k1/1p3ppp/p4q2/2p1P3/2Q5/2P2R1P/PP4P1/5RK1 b - - 0 23,f6e5 c4f7 g8h8 f7f8 e8f8 f3f8 b8f8 f1f8,1282,backrankmate endgame mate matein4 sacrifice verylong
03I6j,r2q3k/4bBpp/p7/1pp2P2/3nn3/7Q/PPP3PP/R1B2RK1 w - - 0 19,c2c3 d4e2 g1h1 e4f2 f1f2 d8d1 f2f1 d1f1,1262,kingsideattack mate matein4 middlegame sacrifice verylong
03goR,2r3k1/R4pbp/6p1/8/1B6/8/P4rPP/5RK1 w - - 0 23,f1f2 c8c1 b4e1 c1e1 f2f1 g7d4 g1h1 e1f1,1281,backrankmate deflection endgame fork mate matein4 verylong
042fY,2r3k1/5ppp/8/4p1N1/3n4/3n4/P4PPP/1R3RK1 w - - 0 22,b1b7 d4e2 g1h1 d3f2 f1f2 c8c1 f2f1 c1f1,1280,backrankmate deflection endgame mate matein4 sacrifice verylong
04p5R,2r5/1k4q1/2pRp3/ppQ1Pp1p/8/2P1P3/PP3PrP/3R2K1 w - - 0 30,g1f1 g2g1 f1e2 g7g4 f2f3 g4g2 e2d3 g1d1,1242,deflection endgame epaulettemate mate matein4 verylong
05iJw,8/6R1/1kp2R2/p7/1pp5/P1P5/KP5r/8 w - - 0 48,g7g6 b4b3 a2a1 h2h1 g6g1 h1g1 f6f1 g1f1,1044,endgame mate matein4 rookendgame verylong
05nDj,6R1/1pr4p/pR6/5pk1/5n2/r1P2P2/P5PP/6K1 b - - 1 32,g5h5 g2g4 f5g4 f3g4 h5h4 b6h6 f4h5 h6h5,1067,endgame mate matein4 verylong
07I8T,4r1k1/pR1n1p1p/r5pB/2pP4/8/5Q2/2P2PPP/q4RK1 w - - 1 21,b7d7 a1f1 g1f1 a6a1 h6c1 a1c1 f3d1 c1d1,1282,attraction mate matein4 middlegame sacrifice verylong
08eJf,5rk1/5ppp/p2p4/n3q3/B1p1P3/2P2Q1P/Pr4P1/1R3RK1 b - - 3 22,b2a2 f3f7 f8f7 b1b8 e5e8 b8e8 f7f8 f1f8,1175,kingsideattack mate matein4 middlegame sacrifice verylong
09MoZ,5rk1/1p2pp1p/6p1/3Pq3/p2NP3/P4Rb1/B5P1/3Q3K w - - 2 29,d1d3 e5h5 h1g1 h5h2 g1f1 h2h1 f1e2 h1e1,1149,mate matein4 middlegame swallowstailmate verylong
0C3sw,r1b1k1nr/pp2ppbp/3P2p1/4n3/2B2B2/1P2Pq2/P2QNP1P/2KR4 b kq - 0 14,e5c4 d6d7 c8d7 d2d7 e8f8 d7d8 a8d8 d1d8,1167,advancedpawn backrankmate fork mate matein4 middlegame sacrifice verylong
0D9GI,r5k1/Rp3ppp/3Q1n2/7q/2P3b1/8/5PPP/4R1K1 b - - 0 23,a8f8 d6f8 g8f8 a7a8 g4c8 a8c8 f6e8 e1e8,1252,attraction mate matein4 middlegame sacrifice verylong
0Dqaz,2r4r/1p3kp1/p2p2p1/8/3nP3/P2P4/1P3PPP/1RB2RK1 w - - 0 22,c1e3 d4e2 g1h1 h8h2 h1h2 c8h8 e3h6 h8h6,1263,anastasiamate attraction endgame kingsideattack mate matein4 sacrifice verylong
