id,fen,moves,rating,themes
DIgq0,r3k2r/p1p2pp1/1bN5/7p/3Pp3/7b/PPP1QPq1/R1B1KR2 b Qkq - 0 15,e8g8 c6e7 g8h7 e2h5,1023,anastasiamate kingsideattack mate matein2 middlegame short
VVgRK,5bk1/1Q5p/p5p1/5p2/1P2r1N1/2r4P/K5P1/8 b - - 2 41,e4b4 g4f6 g8h8 b7h7,1245,endgame master mate matein2 short
RyaPo,2k2q2/pp4b1/8/P1pQ2P1/2P1Pp1K/B3Pr2/8/R7 w - - 1 32,a1d1 f8h8 h4g4 h8h3,1174,endgame mate matein2 short trianglemate
t9sMy,r1bq1rk1/pppp1p2/2n2P1p/2b5/2BN3p/8/PPP2PPP/RN1Q1RK1 b - - 0 10,c5d4 d1g4 g8h8 g4g7,1052,kingsideattack mate matein2 opening short
aUTAa,r4rk1/ppR2pp1/8/4q1Q1/4N3/PP4PP/6B1/5nK1 b - - 0 24,e5c7 e4f6 g8h8 g5h4,1067,mate matein2 middlegame pin short
01MOR,1k6/1p2R3/2p1B1r1/p6p/N4r2/8/PPP5/3R3K w - - 2 32,a4c5 f4h4 e6h3 h4h3,1271,endgame mate matein2 short
91DEl,2r2rk1/1nR3pp/4p2N/p3P3/3p1Q2/q7/P4PPP/6K1 b - - 3 25,g7h6 f4g4 g8h8 g4g7,1238,endgame mate matein2 short
Y8l9m,4k2r/p4pB1/Pp2p1p1/1Pbr4/8/6P1/6PP/1R3RK1 w k - 1 32,g1h1 h8h2 h1h2 d5h5,1132,attraction endgame mate matein2 pillsburysmate sacrifice short
K21pU,5q1k/pQ4p1/3p3b/4p3/2Bp3R/P2P2p1/1PP3K1/8 w - - 0 33,h4g4 f8f2 g2h3 f2h2,1150,endgame mate matein2 short
hxc9Y,6k1/ppR5/1r5p/4r1p1/2P2p2/1P1Rp2P/P3K1P1/8 b - - 1 33,b6a6 d3d8 e5e8 d8e8,1283,endgame mate matein2 rookendgame short
ERyQs,r1b2r1k/pp3pR1/2pp1P1p/8/4q3/6Q1/PPP2PPP/R5K1 b - - 5 25,c8f5 g7h7 f5h7 g3g7,1253,clearance kingsideattack mate matein2 middlegame sacrifice short
tXYjg,5r1k/1b1nbPpp/p4n2/1p6/3N4/P1q1BP2/B1P2QPP/2KR3R w - - 0 18,d4b3 e7a3 c1b1 c3b2,1117,mate matein2 middlegame queensideattack short
Zd11z,r1b2rk1/1pq1bppp/p3p2n/6N1/4N3/1P1Q4/P1P2RPP/R6K b - - 0 21,b7b5 e4f6 g7f6 d3h7,1220,discoveredattack kingsideattack mate matein2 middlegame sacrifice short
SLft9,1k6/1pp5/p1qp4/8/1PPQP1n1/P5P1/r7/5RK1 b - - 3 35,a2a3 f1f8 c6e8 f8e8,1168,endgame mate matein2 short
qXH0p,3n1kr1/ppr1q1P1/2bNp3/3pPpQ1/8/Pn1B4/1P3P2/2R2K1R b - - 0 34,g8g7 h1h8 g7g8 h8g8,1123,mate matein2 middlegame short
zEvFJ,r4r2/2p4k/1p1p3P/p2P3Q/4P3/2q1Np2/P4P2/R2K3R w - - 0 25,a1c1 c3d3 d1e1 d3e2,1052,mate matein2 middlegame short
8pTWZ,r3k2r/ppp2pp1/3pb3/4p1qp/2B1P3/2NPPP2/PPP2R1K/R2Q4 w kq - 2 15,d1g1 g5h4 h2g2 h4h3,1021,mate matein2 middlegame short
UzsbB,6rk/5Qb1/3p4/p5qp/1p2PR2/3P3P/1PP3PN/5RK1 w - - 5 27,h2f3 g7d4 f3d4 g5g2,1293,mate matein2 middlegame sacrifice short
VPx0D,6k1/1p2pp2/1Q1p3P/p5P1/7R/2br1q2/4RP2/4K3 w - - 6 38,e1f1 d3d1 e2e1 d1e1,1205,endgame mate matein2 operamate short
AbcMG,1R6/8/8/8/8/4P3/k1K2p2/8 b - - 0 56,f2f1q b8a8 f1a6 a8a6,1235,endgame mate matein2 queenrookendgame short
9Z5l7,r2q1rkR/1p1b2p1/p3p1p1/3pPpN1/P7/2PQ4/5PPP/2R3K1 b - - 3 22,g8h8 d3h3 h8g8 h3h7,1002,mate matein2 middlegame short
ojQWx,4r1k1/ppp1P2p/2p4B/8/5R2/2P5/PKP5/6rn b - - 3 25,g1e1 f4f8 e8f8 e7f8q,1173,advancedpawn endgame mate matein2 promotion short
hPgds,r3nbk1/ppqb1p1p/3p2p1/8/1PP5/2QB1N2/PB3PPP/4R1K1 b - - 3 19,f8g7 e1e8 d7e8 c3g7,1207,kingsideattack mate matein2 middlegame short
X1FhW,2r4k/p3b1pp/5r2/3Q4/8/6P1/PP2q2P/RNBR3K w - - 0 21,b1c3 f6f1 d1f1 e2f1,1103,mate matein2 middlegame short
xnYSl,3q4/pp4k1/3p2p1/2P1p1P1/1P2P1P1/P1P5/4r3/R1Q2RKr w - - 1 30,g1h1 d8h8 h1g1 h8h2,1082,endgame mate matein2 short
yiO9g,4r1k1/1p3ppp/2n5/p2prN2/2q5/2P2Q2/PP1R1PPP/5RK1 w - - 2 21,b2b3 c4f1 g1f1 e5e1,1271,attraction kingsideattack mate matein2 middlegame sacrifice short
udnMH,2R1r2k/1p3p1p/5Pp1/p4n2/8/3RB3/1q4PP/3Q2K1 b - - 0 26,e8c8 d3d8 c8d8 d1d8,1011,endgame mate matein2 short
HrdgT,8/1Q3pk1/p4p1p/1p6/1P6/P3q3/6PP/1BrR3K w - - 1 33,b7d5 e3e1 d1e1 c1e1,1296,backrankmate endgame mate matein2 sacrifice short xrayattack
ViSKf,5Qk1/5ppp/1B6/P7/1p1p4/1P4Pq/7r/3RR1K1 b - - 0 29,g8f8 b6c5 f8g8 e1e8,1188,backrankmate endgame master mastervsmaster mate matein2 short
koa67,3r2k1/2q3pp/8/4R3/pp1pQP2/6P1/PP3K1P/8 b - - 5 41,d4d3 e5e8 d8e8 e4e8,1154,endgame mate matein2 short
yEZnk,6k1/4q1pp/p3p3/1p2P3/3R1PQP/1P4R1/1rr3b1/5NK1 b - - 1 33,g2f1 d4d8 e7d8 g4g7,1218,deflection mate matein2 middlegame sacrifice short
jyXPv,3Rr3/pkp5/1p5p/6p1/P5q1/1P3p2/3Q1P1P/5K2 w - - 2 36,d8e8 g4g2 f1e1 g2g1,1018,endgame mate matein2 short
w3wBh,6k1/pr2n1pp/3B4/3pNb1P/5P2/1P1Q4/P1P3q1/1K1R3R w - - 3 23,d3a6 g2c2 b1a1 c2c3,1282,mate matein2 middlegame queensideattack short
NyAOy,5r1k/p5bp/4Q1p1/8/2P1N1P1/7q/P6P/3R3K w - - 1 35,e4g5 f8f1 d1f1 h3f1,1109,endgame mate matein2 short
L9YPq,r3r1k1/pp2np1p/7B/4P3/2q5/5Q1P/6P1/5R1K b - - 0 27,c4h4 f3f7 g8h8 h6g7,1039,mate matein2 middlegame short
kAu4N,r3k2r/p1p5/1bp2p2/4p1pq/1P2Pn2/2P1BKP1/P3NP1N/R2Q3R w kq - 5 23,g3g4 h5h3 e2g3 h3g2,1268,mate matein2 middlegame short
cXBTg,r1b2r1k/1p3Npp/p7/5p2/3n2q1/P2p4/Q5PP/R3R1K1 b - - 7 24,f8f7 e1e8 f7f8 e8f8,1131,backrankmate mate matein2 middlegame short
GkhJk,4r1k1/p1p3pp/b1p5/2Q5/2N2B2/3q4/Pb3PPP/3R2K1 w - - 0 23,c4b2 d3d1 b2d1 e8e1,1068,backrankmate mate matein2 middlegame sacrifice short
00LNB,kr6/1pR4p/p4R2/n2r4/P3p3/4B3/6PP/6K1 b - - 0 38,d5d3 f6a6 b7a6 c7a7,1118,endgame mate matein2 operamate sacrifice short
K3LEF,r2q1r2/ppp1bp1k/3p1n2/2n1p1Q1/2B1P3/2PP2RP/PP4P1/RN4K1 b - - 3 17,f8g8 g5h4 f6h5 h4h5,1199,mate matein2 middlegame short
Tt5et,8/8/8/8/5b2/6pp/4pk2/RR5K w - - 2 60,b1g1 g3g2 g1g2 h3g2,1067,advancedpawn endgame mate matein2 short
yv1Yo,6k1/1b4pp/5p2/1RB2P2/2n5/6N1/r5PP/4K3 b - - 2 36,b7g2 b5b8 g8f7 b8f8,1008,endgame mate matein2 short
xm1DU,2r1r1kb/4pb1p/p2p2p1/1p4B1/2qNn1P1/2N2P2/PPPQ3R/1K5R w - - 0 23,c3e4 c4a2 b1c1 a2a1,1050,mate matein2 middlegame queensideattack short
CpWto,r6k/rpp2Bp1/1pn2qPp/5b2/1P2p3/P1N5/1KPQ1PP1/R6R b - - 2 24,c6e5 h1h6 g7h6 d2h6,1182,kingsideattack mate matein2 middlegame sacrifice short
X3XXQ,2bR1rk1/5rpp/p7/1p1Q4/4P2P/8/1Pq2PP1/4R2K b - - 3 27,c2f2 d8f8 g8f8 d5d8,1145,attraction mate matein2 middlegame pin short
WMH11,7Q/1q1r1pp1/1p4k1/6p1/2p2PP1/7P/8/4R1K1 b - - 0 37,b7f3 h8h5 g6f6 f4g5,1277,endgame mate matein2 short
Bf5he,2rq3k/p1p4p/2n1N1p1/2p1n3/3b4/2N5/PB4PP/R4Q1K b - - 0 20,d8d6 f1f6 h8g8 f6g7,1190,kingsideattack mate matein2 middlegame short
lnshX,3r2k1/5ppp/8/p7/2r5/3R3P/P4PP1/3R2K1 b - - 0 32,c4c8 d3d8 c8d8 d1d8,1009,backrankmate endgame mate matein2 rookendgame short
0Tkct,b4rk1/3N1p1p/p3pp2/2p5/3P1q2/1P1Q2P1/P4P1b/R4R1K w - - 0 22,h1h2 f4h6 h2g1 h6h1,1072,mate matein2 middlegame short
alqjf,1R4k1/p1p2p1p/r2p4/5PPp/4q3/p7/K1P2Q1P/8 b - - 1 32,g8g7 f5f6 g7g6 b8g8,1002,endgame master mastervsmaster mate matein2 short
s6ATX,2rr2k1/pp3p2/6p1/4Q2p/q3P2P/2P2R2/PP6/1K2R3 w - - 5 29,e5f6 d8d1 e1d1 a4d1,1054,endgame master mate matein2 queensideattack short
JuN97,rn3r1k/pbp2Npp/1p4q1/5p2/2BP1b2/2P4P/P4PP1/R2QR1K1 b - - 1 18,f8f7 e1e8 f7f8 e8f8,1281,backrankmate mate matein2 middlegame short
FPlhT,4r1k1/1r2bp1p/6pQ/R2Np3/1pPq3P/6P1/5P2/5RK1 b - - 1 27,e7f8 d5f6 g8h8 h6h7,1186,fork mate matein2 middlegame short
z4TcX,8/r4rpk/3p2b1/p1pPp3/Pp2PqPp/1P3P1P/5QB1/4RR1K b - - 2 39,h7h6 f2h4 g6h5 h4h5,1174,mate matein2 middlegame short
rPlq9,r1b1kNQ1/pp1p4/n2Ppq1p/2p5/2P2Pp1/P2B4/6PP/5RK1 b q - 0 28,f6f8 d3g6 e8d8 g8f8,1276,deflection mate matein2 middlegame pin short
l4Zdp,r4r1k/1R2np1p/4bp1Q/2b1p3/p1ppP2N/q5P1/5PBP/3R2K1 b - - 3 23,e7g8 h4g6 f7g6 b7h7,1073,kingsideattack mate matein2 middlegame pin sacrifice short
e4NwB,rn2kb1r/ppQb1ppp/4pnq1/8/P2P4/N1B1P3/3NKPPP/R4B1R b kq - 0 13,d7c6 c7c8 e8e7 c3b4,1013,mate matein2 middlegame short
3wQgr,3r1r1k/p1p2p1p/b7/5BQ1/5P2/2q5/P1P3PP/R2R3K w - - 1 27,d1d8 c3a1 d8d1 a1d1,1171,backrankmate hangingpiece mate matein2 middlegame short
AsGWk,7r/p1p5/5k1p/2N1pq2/2P2np1/8/PQ3PPK/R4R2 w - - 2 29,b2b1 f5h5 h2g1 f4e2,1149,mate matein2 middlegame short
YFenM,6k1/p1p2ppp/2pp4/7r/1P2Pn2/P1N1RQ2/2P2P1q/R5K1 w - - 7 27,g1f1 h2h1 f3h1 h5h1,1019,mate matein2 middlegame short
2o6Rg,3r2k1/p4p2/1p4p1/7p/2P1Q3/1P2P3/P2r1PPP/q4RK1 w - - 0 24,f1a1 d2d1 a1d1 d8d1,1048,backrankmate endgame mate matein2 queenrookendgame short
QUN0o,r3k2r/1p1qnpBp/3p4/1p1pn3/8/1P2P3/P1PPNP1P/R2QK2R w KQkq - 1 13,d2d4 e5f3 e1f1 d7h3,1054,mate matein2 middlegame short
eLqy0,8/8/3pQ2p/4p3/3r4/P4kPq/1P5P/4R1K1 w - - 10 51,e1f1 h3f1 g1f1 d4d1,1186,attraction endgame mate matein2 sacrifice short
OS3ol,r4rk1/2q2ppp/pp1b1B2/5N2/8/6P1/PRP1Q2P/5K2 b - - 0 21,g7f6 e2g4 g8h8 g4g7,1080,mate matein2 middlegame short
ntBvK,r1bq1rk1/ppp2pp1/4p2p/6N1/1P1nNPPP/P2Q4/8/R3K2R b KQ - 0 18,d4c6 e4f6 d8f6 d3h7,1041,clearance kingsideattack mate matein2 middlegame sacrifice short
Cw9kB,R2r1bq1/1kp5/1p3p2/1P2p3/2P1P2p/2P1B2p/4QPrN/5R1K w - - 4 25,a8d8 g2h2 h1h2 g8g2,1277,attraction kingsideattack mate matein2 middlegame sacrifice short
Afrb1,3qr1k1/1pp2pp1/1P1p3p/3Pp3/1P2Pn2/Q1N2b2/2B2PPP/4R1K1 w - - 0 22,g2f3 d8g5 g1f1 g5g2,1249,kingsideattack mate matein2 middlegame short
bhXQJ,6k1/1p1N2b1/4P1pp/p2ppq2/1P6/6rP/P5P1/2Q3RK w - - 0 33,b4a5 g3h3 g2h3 f5h3,1255,endgame mate matein2 sacrifice short
KQL7Q,6r1/1pp2p1k/1p2bq1p/5N1Q/1n3P2/3B3R/r1P3PP/4R2K b - - 0 28,b4d3 h5h6 f6h6 h3h6,1109,mate matein2 middlegame short
mAZMD,3R4/1p4r1/3p2k1/2pPb1p1/3n4/3B4/3B1PK1/8 b - - 3 42,g6h6 d8h8 g7h7 h8h7,1175,endgame mate matein2 short
SdSyp,r4r1k/ppp1qBpp/4p1N1/8/3P4/6Q1/P1P3PP/3n1RK1 b - - 2 20,h7g6 g3h3 e7h4 h3h4,1158,mate matein2 middlegame short
FhFY2,5nk1/2Q2ppp/1p1p4/5P2/2P4q/2B4P/PP2r1P1/R5K1 w - - 1 23,c7d6 h4f2 g1h2 f2g2,1160,endgame mate matein2 short
