id,fen,moves,rating,themes
00O9Z,5QR1/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 w - - 7 32,g8h8 f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1,1624,backrankmate deflection endgame fork master mate matein4 pin sacrifice verylong
00XGg,2k4r/ppp2ppr/2n5/3b1N2/3p1bP1/5NP1/PPP1QP2/R3R1K1 w - - 1 20,g1g2 h7h2 g2f1 h2h1 f3g1 h1g1 f1g1 h8h1,1851,attraction mate matein4 middlegame operamate pin sacrifice verylong
010MJ,3r2k1/pR3pp1/8/5p1p/3n1q2/5P2/PP4R1/6QK b - - 4 29,d4f3 g2g7 g8h8 g7h7 h8h7 b7f7 h7h8 g1g7,1709,attraction endgame mate matein4 sacrifice verylong
01bxA,5rk1/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 b - - 3 30,g8h8 g5f7 h8g8 f7h6 g8h8 c4g8 f8g8 h6f7,1800,discoveredcheck doublecheck endgame mate matein4 sacrifice smotheredmate verylong
0306X,3r1k2/2Q2ppp/2R5/1B2r3/8/4BP2/PPP3qP/2K5 w - - 1 23,c7e5 g2h1 e3g1 h1g1 b5f1 g1f1 e5e1 f1e1,1691,endgame mate matein4 verylong
03CZE,r1bq1r1k/2p1b2p/p1np2p1/1p2p1P1/n3PN2/P1PP1Q2/BP3P2/RNB1K2R b KQ - 1 15,e5f4 h1h7 h8h7 f3h1 c8h3 h1h3 h7g7 h3h6,1750,attraction kingsideattack mate matein4 middlegame sacrifice verylong
03bxv,r1r5/p4pkp/4p3/2BpNq2/1P6/5P2/4K3/6Q1 b - - 1 31,g7h8 e5f7 f5f7 c5d4 e6e5 d4e5 f7f6 e5f6,1803,endgame mate matein4 sacrifice verylong
04nDo,2r1r1k1/2q2pb1/p3p1p1/1p6/4N1P1/5P2/PPPQ3R/2K4R b - - 2 23,e8d8 h2h8 g7h8 h1h8 g8h8 d2h6 h8g8 e4f6,1722,attraction kingsideattack mate matein4 middlegame sacrifice verylong
051WE,3r2k1/1p4p1/p1p1p2p/P1P1N3/5r1q/3Q4/1B3PPP/5RK1 w - - 6 30,d3c3 h4f2 f1f2 d8d1 c3e1 d1e1 f2f1 e1f1,1624,kingsideattack mate matein4 middlegame sacrifice verylong
06aCr,3r3k/6b1/p6p/B4B2/4p3/8/1P3nPP/5RK1 w - - 0 37,f1f2 d8d1 a5e1 d1e1 f2f1 g7d4 g1h1 e1f1,1680,backrankmate deflection endgame mate matein4 verylong
07k2s,6r1/1p5k/1qr2pp1/p3p2P/P3P1Q1/4P2B/1P6/6RK b - - 2 32,b6e3 h5g6 h7h6 g4h4 h6g7 h4h7 g7f8 h7f7,1681,endgame mate matein4 verylong
08R7D,1r4k1/p1P2ppp/8/2Qp4/1K1B1P2/1P3qPn/P6r/2RR4 w - - 9 35,b4a3 h2a2 a3a2 f3b3 a2a1 b3a4 c5a3 a4a3,1654,attraction mate matein4 middlegame sacrifice verylong
09Ouj,6k1/pp4p1/4p1p1/3p2q1/1P4r1/P7/1BR4P/5Q1K b - - 3 29,g5e3 c2c8 g8h7 c8h8 h7h8 f1f8 h8h7 f8g7,1717,attraction endgame mate matein4 sacrifice verylong
0APYD,8/3Q4/6pp/p4p1k/5P2/1q5P/6PK/8 b - - 1 52,a5a4 g2g4 h5h4 d7e7 g6g5 e7e1 b3g3 e1g3,1816,endgame mate matein4 queenendgame verylong
0AfyJ,r1bq1b1r/pppp1kpp/1nn5/4P3/3P4/5Q2/PP3PPP/RNB1K1NR b KQ - 1 8,f7g8 f3b3 d7d5 e5d6 b6c4 b3c4 c8e6 c4e6,1723,discoveredattack discoveredcheck enpassant kingsideattack mate matein4 opening verylong
0Ay2s,7r/1p3pk1/3p1qp1/4p3/p5n1/P2P2Nr/BP3PP1/R1Q2RK1 w - - 0 26,c1c7 h3h1 g3h1 h8h1 g1h1 f6h4 h1g1 h4h2,1818,attraction kingsideattack mate matein4 middlegame sacrifice verylong
0Azvm,2r1r3/p4pk1/1n1q2pR/1P4P1/1P3p2/P3P3/Q1b1B3/4K1R1 b - - 1 31,e8e3 h6h7 g7h7 a2f7 h7h8 g1h1 e3h3 h1h3,1849,attraction deflection mate matein4 middlegame sacrifice verylong
0BVCQ,6k1/5p1p/1R2p1p1/rP1pP1q1/3P4/2N1P1bP/1Q4P1/6K1 w - - 1 31,b2c1 g5e3 c1e3 a5a1 c3b1 a1b1 e3c1 b1c1,1725,endgame mate matein4 pillsburysmate sacrifice verylong
0BcgM,5rk1/pp3ppp/2b1p3/2q1P2Q/3R4/2P5/P5PP/5R1K b - - 5 20,c5c3 h5f7 f8f7 d4d8 c6e8 d8e8 f7f8 f1f8,1758,endgame mate matein4 sacrifice verylong
0Co5V,5rk1/pp5p/1q2pP2/1b1p4/1P6/P4Q1B/4N1KP/8 b - - 0 26,b5e2 f3g3 e2g4 g3g4 g8f7 g4g7 f7e8 g7e7,1705,endgame mate matein4 verylong
0EHIa,2R2R2/2p3rk/pr5p/2p1N1p1/3pP1P1/nP1P2K1/2P5/8 b - - 13 42,g7e7 f8h8 h7g7 c8g8 g7f6 h8h6 f6e5 g8g5,1841,deflection endgame interference mate matein4 verylong
0GVII,1r2r3/4p1kp/p2pP1p1/q1p3N1/2P4Q/6P1/P4P1P/4RbK1 b - - 1 23,a5e1 h4h7 g7f6 h7f7 f6g5 f7f4 g5h5 f4h4,1711,endgame master mate matein4 sacrifice verylong
0HCrx,r2q3r/ppp1k1pp/4P3/4p2Q/3nn3/1B6/PPP3PP/RNB2RK1 w - - 5 15,h5e5 d4e2 g1h1 e4f2 f1f2 d8d1 f2f1 d1f1,1619,fork mate matein4 middlegame sacrifice verylong
0Hkvz,r1r5/4ppk1/3p2p1/1q4P1/1p2PQ2/1P3P2/P7/1K1R3R b - - 0 25,a8a2 h1h7 g7h7 f4f7 h7h8 d1h1 a2h2 h1h2,1836,attraction deflection endgame master mate matein4 sacrifice verylong
0HvEU,7k/2r5/7p/4P1p1/1Q3p2/5P1r/PPq2PR1/K2R4 w - - 3 48,d1b1 c2b1 a1b1 h3h1 g2g1 h1g1 b4e1 g1e1,1662,attraction endgame master mate matein4 sacrifice verylong
0I0Br,5R2/6pk/4Nnp1/8/8/7K/7P/6r1 b - - 3 50,g1e1 e6g5 h7h6 g5f7 h6h5 f8h8 f6h7 h8h7,1744,endgame mate matein4 verylong
0ISms,1R6/p1rkr3/2p1p3/3q1p2/3P1Q2/8/P5PP/1R4K1 b - - 13 30,d5e4 f4c7 d7c7 b1b7 c7d6 b8d8 e7d7 b7d7,1892,attraction endgame epaulettemate mate matein4 sacrifice verylong
0IbN4,r1bq1r2/pp2ppkB/3p1n2/6N1/5B1Q/2P5/P1P2PP1/R3K3 b Q - 2 15,f8h8 g5e6 f7e6 h4h6 g7f7 h6g6 f7f8 f4h6,1602,mate matein4 middlegame sacrifice verylong
0JYM9,2k3r1/7R/2pB4/2P5/7P/2KB1p2/r5n1/8 b - - 2 31,f3f2 d3f5 c8d8 d6c7 d8e8 f5d7 e8f8 c7d6,1841,endgame exposedking mate matein4 verylong
