id,fen,moves,rating,themes
uN5ej,1r1n1rk1/p2R2p1/4pbQp/2p1Np2/1P2q1P1/P3P3/1B3P1P/2R3K1 b - - 0 24,f6e5 d7g7 e5g7 g6g7,1930,kingsideattack master mate matein2 middlegame short
M7DJ1,r4r1k/1bqp1pp1/p3p2N/1p2n2Q/5P2/P2B3P/1PP3P1/R4R1K b - - 0 24,e5d3 h6f5 h8g8 f5e7,1965,discoveredattack discoveredcheck kingsideattack mate matein2 middlegame short
mGeeZ,1r4k1/5ppp/p7/8/P1n5/2b1B3/P1P2PPP/1K1R3R w - - 7 31,b1c1 c3b2 c1b1 c4a3,1920,endgame mate matein2 queensideattack short
hDyiS,r1q2r2/ppp2Npk/3b1n1p/2n1p1N1/4P3/1QP5/PP2KP2/R1B4R b - - 4 17,h7g6 f7h8 f8h8 b3f7,1966,clearance mate matein2 middlegame sacrifice short
UrE0U,4r1k1/ppp3pp/8/1P1Pp3/P6q/4Q1pb/6P1/3BRR1K w - - 0 29,e3e4 h3g4 h1g1 h4h2,1912,discoveredattack discoveredcheck kingsideattack mate matein2 middlegame short
mJuVO,2r1r1k1/3qb2p/pn1p2bN/6P1/1p3Q2/1P6/P1P4P/1K1R2R1 b - - 2 29,g8g7 f4d4 e7f6 d4f6,1903,fork mate matein2 middlegame short
4A2ZH,4r1k1/1pb2p1p/p3bp2/8/8/PP2BQ1P/2Pr1PPq/R3RK2 w - - 0 22,e3d2 e6c4 b3c4 h2h1,2048,mate matein2 middlegame sacrifice short
jTcJI,2R3Q1/8/1pk5/8/4p2K/1r6/8/3q4 b - - 1 46,c6b5 g8c4 b5a5 c8a8,1909,endgame mate matein2 short
VhjNp,1k1r4/p7/1pK2R2/3p1Q2/3P2p1/2P3q1/PPN5/8 w - - 0 35,f6f8 g3c7 c6b5 c7c4,1962,endgame mate matein2 short
C9kZX,r7/6k1/4p1b1/3pP1p1/1r1P4/p1P1P1B1/1P4P1/2KRR3 w - - 0 33,c3b4 a8c8 c1d2 c8c2,2094,endgame mate matein2 operamate short
RiTq8,r4rk1/7n/p5p1/1p1pB1qp/2pPnR2/5QN1/PPP3K1/7R b - - 12 33,e4g3 f3d5 f8f7 d5f7,2044,kingsideattack mate matein2 middlegame short
8RT8f,2r3k1/4Kp1p/q4Np1/3P4/3Q4/8/8/8 b - - 10 53,g8g7 f6e8 g7g8 d4g7,2129,discoveredcheck doublecheck endgame mate matein2 short
KCfzn,1R6/p4pbQ/2p1nk2/2q1pNp1/4P3/6B1/PP1r1PP1/1K6 w - - 7 33,f5e3 c5c2 e3c2 d2d1,2081,backrankmate mate matein2 middlegame sacrifice short
2odam,6k1/5ppp/3p1b2/1pn4P/2PP2P1/r1KBBN2/5P2/7R w - - 3 27,c3b4 a3b3 b4a5 f6d8,1980,fork mate matein2 middlegame short
yjGes,5b2/p1pk2BQ/1p5p/1N1P2p1/7q/1P3p2/P1P3P1/R3r1K1 w - - 1 28,a1e1 f3f2 g1f1 f2e1q,2168,advancedpawn endgame fork mate matein2 promotion short
9HY26,1r3k2/5Nb1/b1pPp1p1/p1p3Np/P1P4P/1r6/2K2PP1/3RR3 w - - 1 28,d6d7 b3c3 c2d2 b8b2,2036,mate matein2 middlegame short
oKfjL,5k2/4r1pp/P7/3R4/3p3P/2pP4/1r3P2/R2K4 w - - 3 37,a6a7 b2d2 d1c1 e7e1,1954,endgame mate matein2 rookendgame short
4nPYb,B1b3k1/p4p1n/1p2p1p1/1q5P/8/4QN2/PbP2PP1/2KR4 w - - 0 21,c1b1 b2c3 b1c1 b5b2,1907,discoveredattack discoveredcheck mate matein2 middlegame queensideattack short
by3RN,rn2k3/1bp2p1p/p3pP1Q/1p6/5p2/2Pq4/PP3PPP/3R1RK1 b q - 1 19,d3g6 h6f8 e8f8 d1d8,2107,attraction mate matein2 middlegame sacrifice short
XTujv,5N1k/6p1/Q6p/2p1b3/Pp6/1P5P/4RPPK/2qr4 w - - 0 41,e2e5 c1f4 g2g3 f4f2,1922,endgame fork mate matein2 short
sbi2g,8/1p1b2p1/p5Qp/4p1k1/3qB3/P7/6PK/8 b - - 3 39,g5f4 g6g3 f4e4 g3f3,1930,dovetailmate endgame mate matein2 sacrifice short
kdH8q,2kr1b1r/pp1n1ppp/5n2/1QpP3q/4p1b1/2N2NBP/PPP2PP1/R3KB1R b KQ - 1 12,e4f3 b5c6 b7c6 f1a6,2073,bodenmate clearance master mate matein2 middlegame queensideattack sacrifice short
k78Jb,r3r2k/p1pR2R1/2N2p2/6p1/5n1n/P1P1N2P/1P3P2/6K1 w - - 5 30,e3g4 h4f3 g1f1 e8e1,2106,mate matein2 middlegame short
BdWx6,Q7/6rk/pb1p1B2/1pp1p2p/5nq1/1PPP2P1/1P3P2/R4R1K w - - 1 32,f6g7 g4h3 h1g1 f4e2,2065,kingsideattack mate matein2 middlegame short
K50Rq,k2r4/1pB5/1Qb4p/5q2/P3n3/8/5pPP/R4R1K w - - 1 31,c7d8 e4g3 h2g3 f5h3,2197,mate matein2 middlegame pin sacrifice short
I4liT,r2qr1k1/2pp1p1p/4p1PQ/p2P4/1p1P2P1/5P2/PPP1b3/2KR3R b - - 0 19,d8f6 g6h7 g8h8 h6f6,1940,advancedpawn discoveredattack kingsideattack mate matein2 middlegame short
nxl4A,7k/4q2p/4R1pB/p7/2Q1b3/P1P1P3/1P4PP/3r2K1 w - - 5 39,g1f2 e7h4 g2g3 h4h2,1955,endgame fork mate matein2 short
qQyac,rn1q3r/ppp1bb1k/3p1N1p/8/2BP2Q1/6P1/PPP2P1P/5RK1 b - - 0 17,e7f6 c4d3 f7g6 g4g6,1989,mate matein2 middlegame short
yhjnt,1k1r3r/p7/1pR1R3/3Q4/8/1P3Pb1/6P1/5K2 w - - 1 34,d5g5 h8h1 f1e2 h1e1,1935,endgame mate matein2 operamate short
VdU21,4k3/pp4p1/2pp1p2/8/3PqnPr/1Q2B1K1/PPP5/R7 w - - 0 27,g3h4 g7g5 h4g3 e4g2,1953,endgame mate matein2 short
k35f9,r7/p5Bp/3k1p2/3p3P/2pK2P1/2n2N2/1bP5/5R1R w - - 0 28,f3d2 c3d1 c2c3 b2c3,1918,discoveredattack discoveredcheck master mate matein2 middlegame short
QS6Sn,r2q1r2/pb1n1pkp/1p4pN/6bn/2BN4/2B1P3/PP5P/R4RK1 b - - 0 22,g5h6 d4f5 g7g8 f5h6,1962,deflection discoveredcheck doublecheck mate matein2 middlegame short
c1X4I,4r1k1/p7/2p2nPq/1pP1P2p/2bP4/P5R1/2Q3PP/1B4K1 w - - 0 40,e5f6 e8e1 g1f2 e1f1,1989,endgame mate matein2 operamate short
yyhlw,rn3rk1/ppn1p1b1/4P3/3p2NQ/6P1/2Bb1Pq1/PP1K4/R6R b - - 4 22,f8f3 h5h8 g7h8 h1h8,2060,kingsideattack mate matein2 middlegame operamate sacrifice short
T7QGZ,5r1k/p3br1p/b3p1Q1/1p1qP1N1/1P1P2P1/P1p1B2R/5R1P/6K1 b - - 1 31,e7g5 h3h7 f7h7 f2f8,1942,deflection kingsideattack mate matein2 middlegame short
gkouV,r6r/1ppk2p1/2pn3p/2B2B2/8/pP3P2/Pb3P1P/3RR1K1 b - - 2 22,d7d8 d1d6 c7d6 c5b6,2131,master mate matein2 middlegame sacrifice short
dvSwb,rn3rk1/pbpp1ppp/1q1b4/1p5Q/1P1P1B2/1BP1R3/P4PPP/RN4K1 b - - 6 15,d6f4 h5f7 f8f7 e3e8,1927,kingsideattack mate matein2 middlegame pin sacrifice short
TVFBH,5B2/1R5p/p5pk/8/P3BP2/2PP2Pb/1r5r/6K1 b - - 6 36,h6h5 e4f3 h3g4 b7h7,2080,endgame mate matein2 short
zW3yw,3r1bnr/1p1q1ppp/2kp4/PNpQ4/4P3/8/1PP2PPP/R4RK1 b - - 2 15,c6b5 d5b3 b5c6 b3b6,1997,mate matein2 middlegame short
3ZBl8,r1b1qk2/pp3ppB/2nb3p/3N2NQ/8/5R1P/P1P2PP1/6K1 b - - 5 20,f7f6 f3f6 g7f6 h5h6,2071,deflection mate matein2 middlegame sacrifice short
6R9WD,r6r/p5Qp/4b1p1/8/3Rk1Pq/4P2P/P1P2P2/4K3 b - - 1 29,e4f3 g7b7 e6d5 b7d5,2095,endgame mate matein2 short
UaxiB,r4rk1/ppp2p2/1n1q2pQ/3bb3/2PB4/8/PP2BPP1/R3K2R b KQ - 1 17,f8e8 h6h8 e5h8 h1h8,1903,kingsideattack mate matein2 middlegame operamate sacrifice short
nIec1,4B3/4prkp/3p1pp1/2pP4/7B/2P1QRKP/5PP1/6qr w - - 10 43,e8f7 g1h2 g3g4 h7h5,2185,endgame mate matein2 short
CdXam,r1b4k/q2n2pp/p1n1B3/1p5Q/3p4/1NN5/PPP3PP/5R1K b - - 0 20,d7f6 h5e8 f6e8 f1f8,1946,backrankmate mate matein2 middlegame sacrifice short
Qhp5g,2r5/7p/1p2Rk2/p4P2/6P1/4pK2/7P/2b5 b - - 2 40,f6g5 f3g3 e3e2 h2h4,2172,endgame mate matein2 short
fopUn,4r1r1/7k/p2p2Rp/1ppP4/5q2/3Q1P2/PPP5/3K2R1 b - - 1 32,f4d4 g6g7 h7h8 g7h7,1932,collinear discoveredcheck doublecheck endgame mate matein2 short
zXmEN,8/1k1Q2p1/2p5/4pP2/P3P3/2P5/3KB1qr/8 b - - 1 41,b7b6 a4a5 b6a5 d7a7,1989,attraction endgame mate matein2 short
mxD3K,8/5pQ1/2p5/1p1p2kP/3Pn3/6P1/5PK1/q7 b - - 0 36,g5f5 g7e5 f5g4 f2f3,2057,endgame mate matein2 short
zPoWh,N4b1r/6pp/pB1k4/3Qp3/4P3/7b/PP1K1P1P/n4q2 b - - 1 23,d6e7 b6d8 e7e8 a8c7,2065,cornermate mate matein2 middlegame short
ar48x,r6k/pp4p1/3Q3p/5r2/2R2n2/1B3PPq/PP5P/5R1K w - - 1 25,f1g1 h3h2 h1h2 f5h5,1936,attraction mate matein2 middlegame sacrifice short
CirCj,r1b2rk1/1pp2p2/p2p3P/2bBp2Q/4PqP1/3P4/PPP2PK1/R4R2 b - - 0 18,c8g4 h5g6 g8h8 g6g7,1908,kingsideattack mate matein2 middlegame pin short
0gZ7A,2kr4/B3bp2/p2p3p/4p3/6b1/5Nr1/P4RP1/1R2K3 b - - 1 26,d8d7 b1b8 c8c7 f2c2,2094,mate matein2 middlegame pillsburysmate short
JT2hy,3r1rk1/p3bp1p/1p4p1/6R1/2BBQP2/1P2n2q/P2N2R1/6K1 b - - 0 28,e3g2 g5g6 h7g6 e4g6,2018,kingsideattack mate matein2 middlegame pin sacrifice short
HdK31,2kr4/ppp5/7p/4Qp2/4p1p1/1BP1K1P1/PP1B3q/R3R3 w - - 2 26,e1e2 d8d3 e3f4 d3f3,2126,epaulettemate mate matein2 middlegame short
41WhG,8/R2R3p/2p3pk/2r5/7P/2p3K1/P1r5/8 b - - 1 41,g6g5 d7d6 h6h5 a7h7,2172,deflection discoveredattack endgame mate matein2 rookendgame short
HHq2j,4R3/1b4rk/pp1q2pb/2p5/3p1PRQ/P2P3P/1P5K/8 b - - 15 33,d6c6 h4h6 h7h6 g4h4,2009,attraction mate matein2 middlegame sacrifice short
VbpuC,r1b4r/pp4pp/1k1N1n2/qBbPB3/3Q4/2N5/P1n2PPP/R4K1R b - - 6 16,c5d4 d6c4 b6c5 e5d6,2093,fork mate matein2 middlegame short
l6I9W,1Q5R/4kpp1/3pq2p/8/2P2QK1/5PP1/7P/7q w - - 1 41,f4f5 e6f5 g4f5 h1f3,1930,attraction endgame mate matein2 short
lciZi,r2r2k1/pp2pp2/4P1pp/3p1Q2/q7/2b2P2/7P/6RK b - - 0 33,f7e6 f5g6 c3g7 g6g7,1983,endgame mate matein2 short
8V4AD,4r1k1/1p3ppp/p7/2b5/4P3/1QBr1q2/PP3P1P/3RR1K1 w - - 0 23,d1d3 c5f2 g1f1 f2e3,1961,discoveredattack fork mate matein2 middlegame short
