id,fen,moves,rating,themes
UiVax,r1b3qr/2pnb1pk/p3Nn1p/1p2pP2/4P3/2P1R3/PP4PP/RNBQ2K1 b - - 2 16,d7c5 e6g5 h6g5 e3h3 f6h5 d1h5,1774,long mate matein3 middlegame sacrifice
viCIB,r1b2rk1/pp1n2p1/1q2p1P1/3pP3/1b1P1P2/8/PP1B2P1/R2QK2R b KQ - 2 17,b6d4 h1h8 g8h8 d1h5 h8g8 h5h7,1728,attraction kingsideattack long mate matein3 middlegame sacrifice
uzjuy,Q4bk1/ppp4p/6p1/5p2/5K2/2P1P2P/P2n2P1/1R3R2 w - - 4 27,a8a7 f8d6 f4g5 d2e4 g5h6 d6f8,1611,endgame long mate matein3
hllrF,6k1/p4rp1/8/2q2p2/8/1Q1P1p2/PP2N1K1/2R4R w - - 0 32,g2h2 c5f2 h2h3 f2g2 h3h4 g2g4,1625,endgame exposedking fork long mate matein3
02SQK,1r2r1k1/3nbppp/p1q1p3/3pR2Q/3B4/3B4/PPP2PPP/R5K1 b - - 9 19,g7g6 h5h7 g8h7 e5h5 h7g8 h5h8,1817,attraction kingsideattack long mate matein3 middlegame operamate pin sacrifice
1czPb,3r1rk1/pp3p2/2q1b1pQ/5p2/8/2P2P2/PP1N2RP/6RK b - - 0 23,d8d2 g2g6 f7g6 h6g6 g8h8 g6h5,1681,long mate matein3 middlegame sacrifice
hg2OK,3Q4/p4k2/4p3/3n1p2/1p3P2/1P2b1PK/P1r1b2P/3R4 w - - 4 41,d1d5 e2g4 h3h4 c2h2 h4g5 h2h5,1631,deflection discoveredattack endgame long mate matein3 operamate
xI18t,6rk/4R1rp/b2pB2p/8/8/P3qP2/6PP/Q6K b - - 6 35,e3f2 a1g7 g8g7 e7e8 g7g8 e8g8,1851,long mate matein3 middlegame operamate sacrifice
6pPRJ,8/8/6R1/pp5P/6Pk/8/Pr6/7K w - - 5 43,h5h6 h4g3 g6f6 b2b1 f6f1 b1f1,1670,endgame exposedking long mate matein3 rookendgame
R95kp,rn5R/8/2p5/p2p4/1p1Pp3/5k2/PPP2r2/3K2R1 b - - 3 28,e4e3 h8f8 f3e4 g1g4 f2f4 g4f4,1649,endgame long mate matein3
BoCuP,5r2/1bq2p1k/4pR1p/p1p1r1pP/P2p2Q1/1PPP2R1/1B4P1/6K1 b - - 0 28,e5e3 f6h6 h7h6 g4g5 h6h7 g5g7,1690,attraction long mate matein3 middlegame sacrifice
qjvuz,4r3/p6p/3pq3/2p5/4pkRB/5p1P/P6K/3R4 b - - 5 47,f4e3 h4g5 e3f2 d1d2 f2e1 g4g1,1861,endgame long mate matein3
